nw-tree,ne-tree,e-tree,w-gap,ne-gap
504,50,459,332,131
505,51,460,333,180
506,52,461,334,181
507,53,462,335,236
508,54,546,336,237
509,84,547,408,238
510,85,548,409,239
598,86,549,410,301
599,87,550,411,302
600,88,551,492,303
601,122,641,493,304
602,123,642,494,373
697,124,643,583,374
698,125,644,584,375
699,126,645,585,452
700,127,742,586,453
804,128,743,587,454
805,129,744,588,455
806,171,745,589,
807,172,746,679,
917,173,747,680,
918,174,748,681,
919,175,749,682,
920,176,968,683,
921,177,969,684,
1037,229,970,685,
1038,230,971,686,
1039,231,972,687,
1040,232,973,,
1041,233,974,,
1163,294,975,,
1164,295,976,,
1165,,1094,,
1166,,1095,,
1167,,1096,,
1168,,1097,,
,,1098,,
,,1099,,
